image_path,label,source_dataset,split
dataset/dr_unified_v2/dr_unified_v2/train/0/26576_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/40024_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/18319_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/11712_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/39257_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/6708_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/36043_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/6222_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/21827_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/43304_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/24617_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/30695_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/37760_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/24471_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/1634_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/25343_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/GF-529906ff9dfa.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/36225_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/33085_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/16304_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/23920_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/44238_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/26710_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/25669_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/27948_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/14114_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/39292_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/16275_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/5283_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/20419_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/806_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/3631_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/32690_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/4227_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/16013_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/32373_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/32659_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/29951_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/29671_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/14372_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/29392_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/16132_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/32974_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/24470_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/40243_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/25175_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/1402_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/8009_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/37556_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/29995_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/26711_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/16418_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/33084_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/25496_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/23921_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/43132_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/22563_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/22080_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/27941_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/11524_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/201_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/24616_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/36042_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/43418_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/35881_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/25944_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/13521_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/7385_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/16903_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/29950_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/41137_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/20566_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/22779_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/27493_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/39293_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/3407_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/27170_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/35553_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/260_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/27949_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/39899_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/2343_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/14137_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/5282_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/6825_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/20418_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/30971_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/38494_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/29737_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/10922_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/4815_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/4682_right.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/38804_left.jpg,0,unified,train
dataset/dr_unified_v2/dr_unified_v2/train/0/13698_right.jpg,0,unified,train
